Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
229,David Riske\riskeda01,29,2TM,44.0,41,0,20,4.09,5.14,-0.21,-0.38,103.7,5.15,5,0.5,.69,-0.2,0.8,10,.511,.502,$1800000,Traded
230,Mariano Rivera\riverma01,36,NYY,75.0,63,0,16,1.92,5.01,-0.32,-0.37,99.6,4.93,24,2.4,1.72,0.7,3.9,34,.539,.515,$10500000,Amateur Free Agent
231,Sendy Rleal\rlealse01,26,BAL,46.2,42,0,25,4.82,5.03,-0.05,-0.37,98.8,4.66,-1,-0.1,.73,-0.1,0.3,4,.497,.499,$327000,Amateur Free Agent
232,Nate Robertson*\roberna01,28,DET,208.2,32,32,98,4.23,5.02,0.24,0.19,98.7,4.91,14,1.4,,-0.1,3.4,39,.543,.509,$402500,Traded
233,Fernando Rodney\rodnefe01,29,DET,71.2,63,0,36,4.52,5.09,0.21,-0.38,98.8,4.45,-1,-0.1,1.37,-0.2,0.5,8,.498,.499,$385000,Amateur Free Agent
234,Eddy Rodriguez\rodried03,24,BAL,15.0,9,0,14,8.40,5.07,-0.05,-0.38,98.6,4.68,-6,-0.6,.70,0.0,-0.4,-4,.435,.496,,Free Agency
235,Francisco Rodriguez\rodrifr03,24,LAA,73.0,69,0,16,1.97,5.08,0.00,-0.38,98.9,4.65,21,2.1,1.97,0.8,3.7,30,.530,.513,$3775000,Amateur Free Agent
236,Kenny Rogers*\rogerke01,41,DET,204.0,34,33,97,4.28,4.99,0.25,0.19,99.6,4.90,12,1.2,2.38,-0.1,3.2,37,.536,.508,$8000000,Free Agency
237,Davis Romero*\romerda01,23,TOR,16.1,7,0,7,3.86,5.27,0.39,-0.39,98.5,4.42,1,0.1,.61,-0.1,0.2,3,.512,.501,,Amateur Free Agent
238,J.C. Romero*\romerj.01,30,LAA,48.1,65,0,40,7.45,5.12,0.00,-0.38,99.0,4.69,-15,-1.5,.84,0.0,-1.0,-9,.478,.491,$2200000,Traded
239,Matt Roney\roneyma01,26,OAK,4.0,3,0,2,4.50,5.09,0.02,-0.38,98.0,4.60,0,0.0,1.06,0.0,0.0,0,.500,.500,,Free Agency
