Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Acquired,Pos Summary
395,John Maine\mainejo01,27,NYM,26,57,-7,0,0,0,8,1,0.1,0,1,0.1,.503,.501,0.1,0.0,1,$450000,Traded,1
396,Gary Majewski\majewga01,28,CIN,33,1,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Traded,1
397,Charlie Manning*\mannich01,29,WSN,56,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Free Agency,1
398,Carlos Marmol\marmoca01,25,CHC,78,2,-1,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$430000,Amateur Free Agent,1
399,Jason Marquis*\marquja01,29,CHC,38,66,-4,0,1,0,7,3,0.3,1,4,0.4,.509,.502,0.4,0.0,4,$6375000,Free Agency,1
400,Sean Marshall*\marshse01,25,CHC,33,15,-1,0,0,0,2,1,0.1,0,1,0.1,.504,.501,0.1,0.0,1,,Amateur Draft,1
401,Lou Marson\marsolo01,22,PHI,1,4,1,0,0,0,0,2,0.1,0,2,0.1,.633,.501,0.1,0.0,2,,Amateur Draft,/2
402,Damaso Marte*\marteda01,33,PIT,44,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$2150000,Traded,1
403,Russell Martin\martiru01,25,LAD,155,650,8,2,1,1,10,22,2.0,20,42,3.9,.514,.514,3.9,1.0,41,$500000,Amateur Draft,*25/D
404,Pedro Martinez\martipe02,36,NYM,20,46,-6,0,0,0,7,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$11813351,Free Agency,1
405,Ramon Martinez\martira03,35,NYM,7,18,0,-1,0,-2,0,-3,-0.3,1,-2,-0.2,.461,.498,0.0,-0.2,0,,Free Agency,/4
406,Shairon Martis\martish01,21,WSN,5,8,-2,0,0,0,1,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,,Traded,/1
407,Nick Masset\masseni01,26,CIN,10,2,-1,0,0,0,0,0,0.0,0,0,0.0,.497,.500,0.0,0.0,0,,Traded,1
408,Joe Mather\mathejo02,25,STL,54,147,0,1,0,3,-2,2,0.2,5,7,0.6,.505,.502,0.4,0.1,4,,Amateur Draft,789/35
409,Osiris Matos\matosos01,23,SFG,20,2,-1,0,0,0,0,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,,Amateur Free Agent,1
410,Kazuo Matsui#\matsuka01,32,HOU,96,422,4,3,2,-9,3,2,0.1,13,15,1.3,.502,.501,2.3,-0.7,24,$5500000,Free Agency,4
411,Cameron Maybin\maybica01,21,FLA,8,36,4,2,0,1,0,7,0.7,1,8,0.8,.585,.504,0.7,0.1,7,,Traded,/8
412,Edwin Maysonet\maysoed01,26,HOU,7,7,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,.484,.499,-0.1,0.0,-1,,Amateur Draft,/64
