Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
190,DJ Johnson\johnsdj01,29,COL,25.0,28,0,14,5.04,5.06,-0.08,-0.34,112.1,5.37,1,0.1,1.01,0.0,0.3,3,.504,.501,$557000,Free Agency
191,Caleb Joseph\josepca01,33,ARI,1.1,2,0,0,0.00,4.83,0.41,-0.33,103.5,4.23,1,0.1,.00,0.0,0.0,1,.532,.500,,Free Agency
192,Keone Kela\kelake01,26,PIT,29.2,32,0,7,2.12,4.71,-0.34,-0.32,98.5,4.66,8,0.9,1.25,0.0,1.2,11,.527,.505,$3175000,Traded
193,Kyle Keller\kelleky01,26,MIA,10.2,10,0,4,3.38,4.72,-0.05,-0.32,95.4,4.24,1,0.1,.62,0.0,0.2,2,.511,.501,,Amateur Draft
194,Mitch Keller\kellemi03,23,PIT,48.0,11,11,41,7.69,4.52,-0.41,0.20,97.0,4.98,-14,-1.3,,0.0,-0.9,-10,.383,.492,,Amateur Draft
195,Joe Kelly\kellyjo05,31,LAD,51.1,55,0,31,5.44,4.71,0.46,-0.32,97.8,3.84,-9,-0.9,1.01,-0.1,-0.5,-4,.484,.495,$3333333,Free Agency
196,Merrill Kelly\kellyme01,30,ARI,183.1,32,32,95,4.66,4.78,0.44,0.21,100.8,4.58,-1,-0.1,,-0.1,1.4,15,.496,.499,$2000000,Free Agency
197,Clayton Kershaw*\kershcl01,31,LAD,178.1,29,28,63,3.18,4.71,0.45,0.21,93.1,4.16,20,2.1,.53,-0.1,3.5,36,.572,.513,$31000000,Amateur Draft
198,Dallas Keuchel*\keuchda01,31,ATL,112.2,19,19,50,3.99,4.74,0.21,0.21,101.9,4.83,11,1.1,,-0.1,2.1,21,.559,.507,$13000000,Free Agency
199,Craig Kimbrel\kimbrcr01,31,CHC,20.2,23,0,15,6.53,4.86,-0.02,-0.33,97.6,4.44,-5,-0.5,1.82,-0.2,-0.5,-3,.480,.497,$10000000,Free Agency
200,Nick Kingham\kinghni01,27,PIT,34.2,14,4,38,9.87,4.51,-0.48,-0.02,97.2,4.83,-19,-1.7,1.36,-0.2,-1.6,-16,.376,.489,$569000,Amateur Draft
201,Tyler Kinley\kinlety01,28,MIA,49.1,52,0,20,3.65,4.81,-0.05,-0.33,96.4,4.37,4,0.4,.98,-0.1,0.8,9,.508,.503,$555000,Rule 5 returned
202,Ian Kinsler\kinslia01,37,SDP,1.0,1,0,0,0.00,4.82,0.21,-0.32,92.0,3.95,0,0.0,.00,0.0,0.0,1,.546,.500,$3750000,Free Agency
203,Brandon Kintzler\kintzbr01,34,CHC,57.0,62,0,18,2.84,4.87,-0.02,-0.33,99.9,4.55,11,1.1,1.31,0.1,1.7,16,.518,.507,,Traded
204,Matt Koch\kochma01,28,ARI,20.2,9,0,21,9.15,5.11,0.55,-0.35,97.3,4.11,-12,-1.0,.28,0.3,-0.5,-10,.384,.494,$567600,Traded
205,Adam Kolarek*\kolarad01,30,LAD,11.2,26,0,3,2.31,5.13,0.50,-0.35,93.3,4.00,2,0.2,1.18,0.0,0.3,3,.509,.501,,Traded
206,Joel Kuhnel\kuhnejo01,24,CIN,9.2,11,0,5,4.66,4.91,0.24,-0.33,102.8,4.46,0,0.0,.72,0.0,0.1,1,.498,.500,,Amateur Draft
207,Peter Lambert\lambepe01,22,COL,89.1,19,19,74,7.46,4.95,-0.10,0.22,118.0,6.22,-12,-1.2,,-0.1,-0.4,-4,.439,.493,,Amateur Draft
208,Dinelson Lamet\lametdi01,26,SDP,73.0,14,14,38,4.68,4.85,0.17,0.22,92.6,4.54,-1,-0.1,,0.0,0.5,6,.493,.499,$566700,Amateur Free Agent
209,Eric Lauer*\lauerer01,24,SDP,149.2,30,29,82,4.93,4.90,0.21,0.21,97.0,4.76,-3,-0.2,1.54,-0.1,1.0,11,.492,.498,$562500,Amateur Draft
210,Mike Leake\leakemi01,31,ARI,60.0,10,10,36,5.40,4.57,0.53,0.20,99.6,4.23,-8,-0.7,,0.0,-0.2,-2,.428,.496,,Traded
211,Dominic Leone\leonedo01,27,STL,40.2,40,0,28,6.20,4.82,0.28,-0.33,97.6,4.11,-9,-0.9,.54,0.1,-0.4,-6,.477,.494,$1260000,Traded
212,Jon Lester*\lestejo01,35,CHC,171.2,31,31,101,5.30,4.92,-0.02,0.22,100.7,5.19,-2,-0.2,,-0.1,1.3,14,.495,.499,$27500000,Free Agency
213,Francisco Liriano*\liriafr01,35,PIT,70.0,69,0,32,4.11,4.77,-0.39,-0.32,96.4,4.67,4,0.4,1.16,-0.1,1.0,11,.507,.503,$100000,Free Agency
214,Walker Lockett\lockewa01,25,NYM,22.2,9,4,21,8.34,4.72,-0.54,0.09,93.9,5.02,-8,-0.8,.71,0.0,-0.6,-6,.414,.495,,Traded
215,Pablo Lopez\lopezpa01,23,MIA,111.1,21,21,64,5.17,4.70,-0.06,0.21,96.9,4.81,-4,-0.4,,-0.1,0.5,6,.480,.497,$555000,Traded
216,Yoan Lopez\lopezyo01,26,ARI,60.2,70,0,27,4.01,4.91,0.45,-0.33,102.0,4.21,2,0.2,1.30,-0.1,0.6,7,.502,.501,$556900,Amateur Free Agent
217,Michael Lorenzen\lorenmi01,27,CIN,83.1,73,0,29,3.13,4.85,0.22,-0.33,101.3,4.36,12,1.2,1.43,0.1,2.0,19,.516,.507,$1950000,Amateur Draft
218,Aaron Loup*\loupaa01,31,SDP,3.1,4,0,0,0.00,4.76,0.15,-0.32,92.6,3.97,1,0.2,.95,0.0,0.2,2,.538,.501,$1200000,Free Agency
219,Joey Lucchesi*\lucchjo01,26,SDP,163.2,30,30,78,4.29,4.80,0.20,0.21,95.7,4.61,6,0.6,,-0.1,2.0,21,.521,.504,$565100,Amateur Draft
220,Seth Lugo\lugose01,29,NYM,80.0,61,0,28,3.15,4.74,-0.36,-0.32,93.3,4.46,12,1.2,1.62,0.2,2.2,19,.520,.507,$591875,Amateur Draft
221,Jordan Lyles\lylesjo01,28,2TM,141.0,28,28,72,4.60,4.72,-0.12,0.21,98.3,4.96,6,0.7,,-0.1,1.9,19,.525,.501,$2050000,Traded
222,Tyler Lyons*\lyonsty01,31,PIT,4.0,3,0,5,11.25,4.77,-0.41,-0.32,94.0,4.57,-3,-0.3,2.14,-0.2,-0.4,-3,.408,.498,,Free Agency
223,Kenta Maeda\maedake01,31,LAD,153.2,37,26,70,4.10,4.55,0.44,0.16,96.5,4.12,1,0.1,1.63,-0.1,1.3,15,.502,.500,$3125000,Free Agency
224,Tyler Mahle\mahlety01,24,CIN,129.2,25,25,82,5.69,4.98,0.24,0.22,100.3,4.98,-10,-1.0,,-0.1,0.1,2,.461,.494,$570000,Amateur Draft
225,Dillon Maples\mapledi01,27,CHC,11.2,14,0,7,5.40,4.93,-0.01,-0.33,100.4,4.62,-1,-0.1,.70,0.0,0.0,0,.493,.499,,Amateur Draft
226,Nick Margevicius*\margeni01,23,SDP,57.0,17,12,46,7.26,4.77,0.24,0.18,100.1,4.72,-16,-1.5,.30,0.0,-1.0,-11,.412,.491,,Amateur Draft
227,Parker Markel\markepa01,28,PIT,17.1,15,0,12,6.23,4.68,-0.37,-0.32,98.8,4.67,-3,-0.3,.68,0.0,-0.1,-1,.480,.498,,Waivers
228,German Marquez\marquge01,24,COL,174.0,28,28,96,4.97,4.90,-0.08,0.22,114.4,5.95,19,2.1,,-0.1,3.5,35,.573,.513,$565000,Traded
229,Chris Martin\martich02,33,ATL,17.2,20,0,10,5.09,4.98,0.17,-0.34,101.9,4.56,-1,-0.1,1.03,0.0,0.0,1,.495,.499,,Traded
230,Russell Martin\martiru01,36,LAD,4.0,4,0,0,0.00,4.62,0.47,-0.31,93.4,3.59,2,0.2,.00,-0.1,0.1,2,.541,.501,$20000000,Traded
231,Carlos Martinez\martica04,27,STL,48.1,48,0,18,3.35,4.73,0.27,-0.32,97.3,4.03,4,0.4,1.65,0.0,0.9,8,.508,.502,$11700000,Free Agency
232,James Marvel\marveja01,25,PIT,17.1,4,4,16,8.31,4.69,-0.53,0.21,97.9,5.31,-6,-0.5,,0.0,-0.4,-4,.372,.497,,Amateur Draft
233,Phil Maton\matonph01,26,SDP,24.1,21,0,22,8.14,4.93,0.25,-0.33,101.7,4.41,-10,-1.0,.63,0.1,-0.6,-8,.454,.494,$562900,Amateur Draft
234,Steven Matz*\matzst01,28,NYM,160.1,32,30,83,4.66,4.72,-0.46,0.20,92.2,4.96,6,0.6,1.10,-0.1,1.9,20,.518,.504,$2625000,Amateur Draft
235,Dustin May\maydu01,21,LAD,34.2,14,4,17,4.41,4.63,0.49,0.02,92.1,3.83,-2,-0.2,1.35,-0.1,0.1,1,.485,.499,,Amateur Draft
236,Mike Mayers\mayermi01,27,STL,19.0,16,0,14,6.63,4.89,0.32,-0.33,95.7,4.05,-5,-0.5,.58,0.1,-0.3,-4,.467,.497,$563700,Amateur Draft
237,Chris Mazza\mazzach01,29,NYM,16.1,9,0,10,5.51,4.78,-0.51,-0.19,89.3,4.55,-2,-0.2,.47,0.0,0.0,0,.481,.499,,Rule 5 Draft
238,T.J. McFarland*\mcfartj01,30,ARI,56.0,51,0,35,5.63,4.81,0.50,-0.33,103.4,4.12,-9,-0.9,.98,-0.1,-0.5,-4,.482,.494,$1400000,Free Agency
